iter	Passed	Remaining
135	1555	3018
136	1565	3005
137	1576	2993
138	1586	2979
139	1601	2973
140	1611	2960
141	1621	2946
142	1631	2932
143	1642	2919
144	1652	2905
145	1664	2894
146	1674	2881
147	1684	2868
148	1695	2855
149	1705	2842
150	1714	2827
151	1725	2814
152	1734	2800
153	1745	2787
154	1755	2774
155	1767	2764
156	1778	2752
157	1790	2742
158	1801	2730
159	1811	2716
160	1822	2704
161	1832	2692
162	1842	2679
163	1854	2667
164	1865	2656
165	1874	2642
166	1886	2631
167	1896	2619
168	1908	2608
169	1923	2601
170	1937	2594
171	1952	2588
172	1964	2577
173	1974	2564
174	1984	2551
175	1994	2538
176	2004	2525
177	2015	2513
178	2025	2500
179	2036	2488
180	2047	2476
181	2056	2463
182	2067	2451
183	2078	2439
184	2088	2427
185	2100	2416
186	2112	2405
187	2122	2393
188	2133	2381
189	2144	2370
190	2154	2357
191	2165	2345
192	2176	2334
193	2187	2322
194	2199	2312
195	2210	2300
196	2220	2288
197	2231	2276
198	2241	2264
199	2251	2251
200	2262	2240
201	2273	2228
202	2284	2216
203	2294	2204
204	2305	2193
205	2315	2180
206	2326	2168
207	2336	2156
208	2347	2145
209	2357	2133
210	2368	2121
211	2379	2110
212	2389	2098
213	2399	2085
214	2409	2073
215	2419	2061
216	2432	2051
217	2445	2041
218	2455	2029
219	2465	2017
220	2477	2006
221	2488	1995
222	2498	1983
223	2508	1970
224	2518	1958
225	2528	1946
226	2538	1934
227	2549	1923
228	2559	1911
229	2569	1899
230	2581	1888
231	2591	1876
232	2602	1865
233	2612	1853
234	2622	1841
235	2632	1829
236	2642	1817
237	2652	1805
238	2663	1794
239	2674	1782
240	2684	1771
241	2695	1759
242	2708	1749
243	2718	1738
244	2729	1726
245	2739	1714
246	2749	1703
247	2758	1690
248	2769	1679
249	2780	1668
250	2791	1657
251	2801	1645
252	2812	1633
253	2825	1623
254	2842	1616
255	2858	1608
256	2873	1598
257	2891	1591
258	2910	1584
259	2927	1576
260	2940	1565
261	2956	1556
262	2971	1547
263	2982	1536
264	2992	1524
265	3002	1512
266	3012	1500
267	3023	1489
268	3033	1477
269	3043	1465
270	3053	1453
271	3063	1441
272	3074	1430
273	3086	1419
274	3096	1407
275	3106	1395
276	3116	1383
277	3126	1372
278	3137	1360
279	3147	1348
280	3158	1337
281	3169	1326
282	3179	1314
283	3189	1302
284	3199	1290
285	3209	1279
286	3219	1267
287	3229	1256
288	3240	1244
289	3250	1232
290	3259	1221
291	3269	1209
292	3279	1197
293	3290	1186
294	3300	1174
295	3310	1163
296	3321	1151
297	3333	1141
298	3344	1129
299	3354	1118
300	3366	1107
301	3378	1096
302	3389	1085
303	3400	1073
304	3411	1062
305	3422	1051
306	3433	1040
307	3444	1028
308	3455	1017
309	3466	1006
310	3478	995
311	3488	983
312	3499	972
313	3510	961
314	3521	950
315	3531	938
316	3541	927
317	3552	915
318	3563	904
319	3574	893
320	3587	882
321	3598	871
322	3608	860
323	3618	848
324	3628	837
325	3639	826
326	3649	814
327	3660	803
328	3670	792
329	3681	780
330	3691	769
331	3701	758
332	3712	746
333	3722	735
334	3732	724
335	3743	713
336	3754	701
337	3764	690
338	3774	679
339	3786	668
340	3795	656
341	3805	645
342	3815	634
343	3827	623
344	3841	612
345	3852	601
346	3862	590
347	3873	578
348	3882	567
349	3892	556
350	3902	544
351	3912	533
352	3927	522
353	3943	512
354	3958	501
355	3971	490
356	3981	479
357	3993	468
358	4004	457
359	4015	446
360	4025	434
361	4036	423
362	4048	412
363	4058	401
364	4070	390
365	4082	379
366	4093	368
367	4103	356
368	4114	345
369	4124	334
370	4135	323
371	4146	312
372	4157	300
373	4167	289
374	4179	278
375	4189	267
376	4199	256
377	4210	245
378	4221	233
379	4231	222
380	4242	211
381	4253	200
382	4264	189
383	4275	178
384	4287	167
385	4298	155
386	4308	144
387	4321	133
388	4331	122
389	4341	111
390	4353	100
391	4363	89
392	4373	77
393	4383	66
394	4393	55
395	4403	44
396	4413	33
397	4423	22
398	4433	11
399	4443	0
